9,10,14,15,16,19,20,21,23,24,27,28,29,30,31,32,33,34
1,2 
1,2,3
1,2,3,4
1,5
1,6
1,5,6,7
1,2,3,4,8
1,3,9
3,10
1,5,6,11
1,12
1,4,13
1,2,3,4,14
6,7,17
1,2,18
1,2,20
1,2,22
24,25,26
3,24,25,28
3,29
24,27,30
2,9,31
1,25,26,29,32
3,9,15,16,19,21,23,24,30,31,32,33
